,Name,ROM(GB),RAM(GB),Ratings,Price
156,ViVO Y11 (Agate Red),32,3,4.4,9490
157,ViVO Y11 (Mineral Blue),32,3,4.4,9490
158,POCO M2 (Pitch Black),64,6,4.3,10499
159,POCO X3 (Shadow Gray),128,6,4.4,16999
160,POCO C3 (Lime Green),64,4,4.3,8499
161,Tecno Spark 6 Go (Aqua Blue),64,4,4.3,8699
162,Tecno Spark 6 Go (Mystery White),64,4,4.3,8699
163,POCO X3 (Shadow Gray),128,6,4.4,16999
164,POCO C3 (Lime Green),64,4,4.3,8499
165,Tecno Spark 6 Go (Aqua Blue),64,4,4.3,8699
166,Tecno Spark 6 Go (Mystery White),64,4,4.3,8699
167,REDMI 9 Power (Blazing Blue),128,6,4.3,12999
168,SAMSUNG Galaxy F62 (Laser Blue),128,8,4.3,25999
169,ViVO Y91i (Ocean Blue),32,2,4.3,7990
170,ViVO Y31 (Racing Black),128,6,4.4,16490
171,ViVO Y31 (Ocean Blue),128,6,4.4,16490
172,Infinix Note 10 (95° Black),128,6,4.4,11999
173,OPPO A15S (Rainbow Silver),64,4,4.4,11490
174,Itel Vision1 (Gradation Green),32,3,4.1,6549
175,Infinix Note 10 (Emerald Green),64,4,4.5,10999
176,POCO X3 (Cobalt Blue),128,6,4.4,16999
177,Tecno Spark Go 2020 (Ice jadeite),32,2,4.4,6999
178,Tecno Spark Go 2020 (Mystery White),32,2,4.4,6999
179,MOTOROLA E7 Plus (Misty Blue),64,4,4.2,9499
180,realme C11 (Rich Grey),32,2,4.4,7499
181,realme C11 (Rich Green),32,2,4.4,7499
182,Infinix Hot 10S (Heart Of Ocean),64,6,4.3,10999
183,Infinix Hot 10S (Morandi Green),64,6,4.3,10999
184,SAMSUNG Galaxy F12 (Celestial Black),64,4,4.2,10999
185,POCO X3 (Cobalt Blue),64,6,4.4,14999
186,ViVO Y91i (Fusion Black),32,2,4.3,7990
187,SAMSUNG Galaxy A31 (Prism Crush Blue),128,6,4.3,16999
188,realme Narzo 20 (Victory Blue),128,4,4.3,11499
189,Tecno Spark Go 2020 (Aqua Blue),32,2,4.4,6999
190,SAMSUNG Galaxy A31 (Prism Crush Blue),128,6,4.3,16999
191,SAMSUNG Galaxy F62 (Laser Grey),128,8,4.3,25999
192,GIONEE Max Pro (Black),32,3,3.9,6999
193,OPPO A31 (Fantasy White),128,6,4.3,12676
194,OPPO A31 (Lake Green),64,4,4.3,11140
195,Itel A48 (Gradation Green),32,2,4,5899
196,Panasonic ELUGA I6 (Black),16,2,3.7,5001
197,SAMSUNG Galaxy F02s (Diamond Blue),64,4,4.2,9999
198,OPPO F17 Pro (Metallic White),128,8,4.4,19990
199,OPPO F17 Pro (Magic Blue),128,8,4.4,19990
200,OPPO F17 Pro (Matte Black),128,8,4.4,19990
201,SAMSUNG Galaxy F62 (Laser Green),128,8,4.3,25999
202,Redmi 9A (Nature Green),32,3,4.3,7920
203,Redmi 9A (SeaBlue),32,2,4.3,7287
204,Redmi 9A (Nature Green),32,2,4.3,7329
205,Redmi 9A (Midnight Black),32,2,4.3,7250
206,SAMSUNG Galaxy F02s (Diamond Blue),32,3,4.2,8999
207,POCO C3 (Matte Black),32,3,4.3,7499
208,SAMSUNG Galaxy M31 (Ocean Blue),64,6,4.3,16795
209,Itel A48 (Gradation Black),32,2,4,5899
210,OPPO A15s (Dynamic Black),64,4,4.4,11490
211,Google Pixel 4a (Just Black),128,6,4.6,31999
212,realme 7 Pro (Mirror Silver),128,6,4.4,19999
213,realme 7 Pro (Mirror Blue),128,6,4.4,19999
214,realme 7 Pro (Mirror Silver),128,8,4.4,21999
215,SAMSUNG Galaxy A21s (Blue),64,4,4.2,12999
216,REDMI 9 Power (Electric Green),128,4,4.3,11999
217,POCO X3 Pro (Steel Blue),128,8,4.4,20999
218,Panasonic Eluga I7 (Black),16,2,3.7,5299
219,POCO M2 Pro (Two Shades of Black),64,4,4.4,12999
220,SAMSUNG Galaxy M11 (Metallic Blue),64,4,4.3,9900
221,OPPO F19 (Space Silver),128,6,4.2,17990
222,Redmi 8A Dual (Midnight Grey),32,3,4.2,7999
223,REDMI Note 9 (Arctic White),128,4,4.4,12999
224,realme C15 (Power Blue),32,3,4.3,8999
225,realme 7 Pro (Sun Kissed Leather),128,6,4.4,19999
226,realme 7 Pro (Sun Kissed Leather),128,8,4.4,21999
227,OPPO A54 (Moonlight Gold),64,4,4.3,13490
228,OPPO A54 (Starry Blue),128,4,4.3,14490
229,OPPO A54 (Crystal Black),128,4,4.3,14490
230,OPPO A31 (Mystery Black),128,6,4.3,12640
231,OPPO A54 (Moonlight Gold),128,4,4.3,14490
232,POCO M2 Pro (Green and Greener),64,6,4.4,13999
233,Tecno Spark 6 Go (Ice Jadeite),64,4,4.3,8990
234,SAMSUNG Galaxy M02 (Blue),32,2,4.1,7899
235,Redmi 9A (Midnight Black),32,3,4.3,7977
236,ViVO V2033 / V2069 (Glacier Blue),32,3,4.3,10490
237,Micromax IN 1 (Purple),64,4,4.3,9999
238,Micromax IN 1 (Purple),128,6,4.3,11499
239,Micromax IN 1 (Blue),128,6,4.3,11499
240,MOTOROLA G9 Power (Electric Violet),64,4,4.1,11999
241,POCO M2 Pro (Two Shades of Black),64,6,4.4,13999
242,SAMSUNG Galaxy M21 (Raven Black),64,4,4.3,13975
243,REDMI 9 Power (Fiery Red),128,6,4.3,12999
244,realme C15 (Power Silver),32,3,4.3,8999
245,OPPO A54 (Moonlight Gold),128,6,4.3,15990
246,POCO X3 (Shadow Gray),128,8,4.3,18999
247,Panasonic Eluga I8 (Charcoal Black),32,3,3.9,6999
248,Nokia C3 (Nordic Blue),16,2,3.9,6749
249,MOTOROLA G60 (Frosted Champagne),128,6,4.2,17999
250,Redmi 9 (Sporty Orange),64,4,4.2,9049
251,MOTOROLA G40 Fusion (Frosted Champagne),128,6,4.3,16499
252,Itel VISION1 (GRADATION GREEN),32,2,4.2,6992
253,LAVA Z1 (Coral Red),16,2,3.9,5199
254,Tecno Camon 15 (SHOAL GOLD),64,4,4.2,9999
255,SAMSUNG M31 Prime (IceBerg Blue),128,6,4.4,16990
256,SAMSUNG M31s (Mirage Blue),128,8,4.2,21125
257,SAMSUNG Galaxy M51 (Electric Blue),128,8,4.4,25498
258,SAMSUNG Galaxy F12 (Celestial Black),128,4,4.2,11999
259,GIONEE F11 (Blue),32,3,3.9,6499
260,ViVO V21 5G (Dusk Blue),256,8,4.3,32990
261,OPPO A54 (Crystal Black),64,4,4.3,13490
262,OPPO A54 (Starry Blue),64,4,4.3,13490
263,REDMI Note 10 (Shadow Black),64,4,4.3,13388
264,SAMSUNG Galaxy M11 (Violet),64,4,4.3,9868
265,REDMI Note 10 (Aqua Green),128,6,4.3,16499
266,REDMI Note 10S (Deep Sea Blue),128,6,4.2,17169
267,REDMI Note 9 (Shadow Black),128,4,4.4,14895
268,MOTOROLA G40 Fusion (Frosted Champagne),64,4,4.3,14499
269,realme 3i (Diamond Blue),64,4,4.4,10499
270,Tecno POVA (Magic Blue),64,4,4.3,10499
271,REDMI Note 10 Pro Max (Dark Night),128,6,4.3,21008
272,SAMSUNG Galaxy A21s (Black),128,6,4.2,17499
273,ViVO V21 5G (Dusk Blue),128,8,4.3,29990
274,ViVO V21 5G (Arctic White),128,8,4.3,29990
275,ViVO V21 5G (Sunset Dazzle),128,8,4.3,29990
276,ViVO V21 5G (Sunset Dazzle),256,8,4.3,32990
277,REDMI Note 10 Pro (Dark Night),64,6,4.3,17989
278,OPPO F19 Pro (Crystal Silver),256,8,4.3,23490
279,realme X7 Max (Asteroid Black),128,8,4.4,26999
280,realme X7 Max (Asteroid Black),256,12,4.4,29999
281,LG W31 (midnight blue),64,4,4.1,8290
282,MOTOROLA G40 Fusion (Dynamic Gray),64,4,4.3,14499
283,SAMSUNG Galaxy A31 (Prism Crush White),128,6,4.3,16999
284,Redmi 9 (Sky Blue),128,4,4.2,10935
285,OPPO A15 (Dynamic Black),32,3,4.3,9990
286,SAMSUNG Galaxy A32 (Awesome Black),128,6,4.2,20419
287,SAMSUNG GALAXY M31S (Mirage Black),128,8,4.4,19997
288,SAMSUNG M31 Prime (Space Black),128,6,4.4,16990
289,POCO X3 (Cobalt Blue),128,8,4.3,18999
290,SAMSUNG Galaxy A32 (Awesome Black),128,6,4.2,20419
291,Infinix Zero 8i (Silver Diamond),128,8,4.2,14999
292,SAMSUNG M31 Prime (Space Black),128,6,4.4,16990
293,POCO X3 (Cobalt Blue),128,8,4.3,18999
294,SAMSUNG Galaxy M31 (Space Black),64,6,4.3,16199
295,LAVA Z61 Pro (Champagne Gold),16,2,4,5777
296,SAMSUNG Galaxy M12 (White),128,6,4.2,14999
297,SAMSUNG Galaxy M12 (Blue),128,6,4.2,14999
298,LAVA BEU (ROSE PINK),32,2,3.8,6388
299,POCO C3 (Matte Black),64,4,4.3,8499
300,GIONEE F11 (Black),32,3,3.9,6599
301,LAVA Z6 (Aqua Blue),64,6,3.9,10299
302,ViVO Y73 (Roman Black),128,8,4.5,20990
303,ViVO Y73 (Diamond Flare),128,8,4.5,20990
304,ViVO Z1Pro (Sonic Black),128,6,4.5,17990
305,realme 6 (Comet White),64,6,4.4,14999
306,POCO M2 Pro (Two Shades of Black),128,6,4.4,15999
307,LAVA Z66 (Marine Blue),32,3,4,7227
308,SAMSUNG Galaxy M02 (Black),32,3,4,8276
309,POCO M2 Pro (Green and Greener),128,6,4.4,15999
310,LAVA Z66 (Marine Blue),32,3,4,7227
311,POCO M2 Pro (Green and Greener),128,6,4.4,15999
312,SAMSUNG M02s (Red),32,3,4.1,9087
313,Redmi 8 (Onyx Black),64,4,4.4,10999
314,ViVO Z1Pro (Sonic Black),128,6,4.5,17990
315,OPPO F19 Pro+ 5G (Space Silver),128,8,4.3,25990
316,LAVA Z61 Pro (Lavender Blue),16,2,4,5777
317,ViVO Y20i (Nebula Blue),64,3,4.4,11490
318,SAMSUNG Galaxy M31s (Mirage Blue),128,6,4.2,19035
319,REDMI Note 10 Pro (Dark Night),128,8,4.4,20863
320,Redmi 8 (Emerald Green),64,4,4.4,10795
321,realme 3i (Diamond Black),32,3,4.4,8499
322,Itel Vision1 (Gradation Blue),32,3,4.1,6549
323,realme X7 Max (Mercury Silver),128,8,4.4,26999
324,realme X7 Max (Mercury Silver),256,12,4.4,29999
325,realme X7 Max (Milky Way),128,8,4.4,26999
326,realme X7 Max (Milky Way),256,12,4.4,29999
327,REDMI Note 10S (Shadow Black),64,6,4.2,15940
328,SAMSUNG Galaxy A12 (Blue),64,4,4.2,12999
329,Mi 10i (Midnight Black),128,8,4.3,24698
330,SAMSUNG Galaxy M31 (Iceberg blue),128,6,4.3,16290
331,SAMSUNG Galaxy A51 (Prism Crush Blue),128,8,4.3,22499
332,realme Narzo 20 Pro (Black Ninja),128,8,4.3,16999
333,realme Narzo 20 Pro (Black Ninja),64,6,4.3,14999
334,OPPO F19 Pro (Fluid Black),128,8,4.3,23990
335,OPPO F19 Pro (Crystal Silver),128,8,4.3,21490
336,SAMSUNG Galaxy M01 (Blue),32,3,4.2,8383
337,OPPO A15 (Mystery Blue),32,3,4.3,9990
338,SAMSUNG Galaxy A71 (Haze Crush Silver),128,8,4.4,27499
339,Mi 10i (Midnight Black),128,6,4.4,22399
340,SAMSUNG Galaxy M02 (Gray),32,3,4,8207
341,SAMSUNG Galaxy M42 5G (Prism Dot Gray),128,6,4.4,22990
342,OPPO A15 (Mystery Blue),32,2,4.1,9499
343,SAMSUNG M02s (Black),64,4,4.2,10186
344,REDMI Note 10 (Frost White),128,6,4.3,16199
